           shot,       time [s],      exp.alpha,        exp.<j>, crit.alpha raw,crit.alpha diam,    crit<j> raw,   crit<j> diam,  stability raw, stability diam,    crit. n raw,   crit. n diam,         Bt [T],        Ip [MA],         beta_N,     p_tot [MW],     p_rad [MW],            H98, gas [1e22 1/s],  triangularity,    Teped [keV],neped [10^19 1m^3],            nu*,     userid/dda,
          82545,      55.474000,       3.440000,       0.814790,       4.131055,       4.532259,       0.997568,       1.107582,       1.200888,       1.317517,             30,             15,       2.622465,       2.480040,       1.195477,      17.567915,       4.162759,       0.692398,       2.903896,       0.374296,       7.996800,       0.533500,       1.580800,     rfrid/T001
          82546,      56.074000,       3.102000,       0.747979,       4.148667,       4.510259,       1.032416,       1.132503,       1.337417,       1.453984,             30,             20,       2.616819,       2.483015,       1.181507,      15.625111,       3.225265,       0.703498,       2.909022,       0.375416,       7.714800,       0.522500,       1.585200,     rfrid/T001
          82550,      54.623000,       3.141000,       0.794127,       4.302696,       4.517939,       1.125942,       1.187383,       1.369849,       1.438376,             20,             15,       2.617736,       2.485012,       1.166886,      14.367912,       3.076536,       0.734271,       1.936799,       0.373060,       7.306700,       0.575800,       1.243900,     rfrid/T001
          82576,      57.925000,       2.724000,       0.655139,       4.531719,       4.694234,       1.149277,       1.195554,       1.663627,       1.723287,             20,              3,       2.183250,       1.979852,       1.393781,      12.573585,       2.947048,       0.832592,       1.132293,       0.383189,       5.250400,       0.573900,       0.965600,     rfrid/T001
          82581,      58.525000,       3.796000,       0.864478,       4.059332,       4.637061,       0.937810,       1.092273,       1.069371,       1.221565,             30,             20,       2.181856,       1.979886,       1.247498,      10.493729,       2.414657,       0.812584,       1.126060,       0.379498,       5.783800,       0.472800,       1.534400,     rfrid/T001
          82584,      57.625000,       3.395000,       0.792746,       4.512894,       4.755938,       1.093212,       1.161510,       1.329277,       1.400865,             20,             15,       2.181147,       1.981804,       1.386023,      11.895282,       2.854173,       0.824853,       1.150337,       0.382684,       5.394600,       0.539300,       1.115900,     rfrid/T001
          82585,      55.274000,       4.559000,       1.095500,       4.253902,       4.812983,       1.016526,       1.168591,       0.933078,       1.055710,             30,             20,       2.630232,       2.490967,       1.350878,      16.409431,       3.552610,       0.797223,       1.055904,       0.384745,       6.676000,       0.693900,       0.801700,     rfrid/T001
          82588,      55.174000,       3.511000,       0.904189,       4.981959,       5.090068,       1.314199,       1.344343,       1.418957,       1.449749,             20,             15,       2.617774,       2.491054,       1.546267,      15.668840,       4.268981,       0.872798,       0.886421,       0.383634,       6.447900,       0.769500,       0.635900,     rfrid/T001
          82590,      54.973000,       3.282000,       0.839971,       4.950232,       5.191850,       1.288106,       1.353333,       1.508298,       1.581917,             15,             10,       2.184394,       1.991870,       1.932148,      14.286587,       3.467919,       0.957749,       1.106964,       0.387692,       4.664700,       0.790100,       0.471500,     rfrid/T001
          82628,      59.076000,       2.674000,       0.675821,       2.955675,       3.304004,       0.754416,       0.850450,       1.105338,       1.235604,             50,              3,       2.007680,       1.966498,       1.096337,       7.149906,       1.471844,       0.791507,       1.018852,       0.276052,       5.999600,       0.338800,       2.613700,     rfrid/T001
          82628,      61.077000,       2.747000,       0.723654,       3.375612,       3.716667,       0.901941,       0.998745,       1.228836,       1.352991,             30,             15,       2.005964,       1.966787,       1.470204,      11.174293,       2.090623,       0.829422,       0.981506,       0.284687,       5.889000,       0.447200,       1.532300,     rfrid/T002
          82630,      59.576000,       2.550000,       0.684457,       3.425992,       3.586918,       0.945594,       0.993926,       1.343526,       1.406635,             20,             20,       2.006617,       1.969941,       1.477131,       9.818377,       2.137966,       0.853324,       0.777889,       0.280194,       6.153600,       0.430500,       1.704800,     rfrid/T001
          82630,      61.377000,       2.294000,       0.614387,       3.549282,       3.694017,       0.984687,       1.028183,       1.547202,       1.610295,             20,             10,       2.004375,       1.970632,       1.532279,      13.043349,       2.497047,       0.796610,       0.758136,       0.279193,       5.245500,       0.526300,       1.001300,     rfrid/T002
          82635,      61.777000,       1.863000,       0.508655,       3.528220,       3.680507,       0.959148,       1.000421,       1.893838,       1.975581,             20,             15,       1.291738,       1.284951,       2.279813,      10.026380,       1.271353,       0.972469,       0.552417,       0.295753,       3.308800,       0.367000,       1.317200,     rfrid/T001
          82636,      58.525000,       5.152000,       1.221248,       3.020266,       3.681677,       0.660983,       0.831052,       0.586232,       0.714611,             50,             30,       1.588592,       1.582221,       1.777119,       8.420407,       1.575161,       0.926262,       0.670311,       0.282957,       4.630400,       0.493600,       1.001000,     rfrid/T001
